Identifier	Correct	P1 (Q1)	P1 (Q2)	P1 (Q3)	P1 (Q4)	P1 (Q5)	P1 (Q6)	P1 (Q7)	P1 (Q8)	P1 (Q9)	P1 (Q10)	P2 (Q1)	P2 (Q2)	P2 (Q3)	P2 (Q4)	P2 (Q5)	P2 (Q6)	P2 (Q7)	P2 (Q8)	P2 (Q9)	P2 (Q10)	P3 (Q1)	P3 (Q2)	P3 (Q3)	P3 (Q4)	P3 (Q5)	P3 (Q6)	P3 (Q7)	P3 (Q8)	P3 (Q9)	P3 (Q10)	P4 (Q1)	P4 (Q2)	P4 (Q3)	P4 (Q4)	P4 (Q5)	P4 (Q6)	P4 (Q7)	P4 (Q8)	P4 (Q9)	P4 (Q10)
0	"P1 (Q1),P1 (Q3),P1 (Q6),P1 (Q10),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4)"	"5
3"	D	"A, B, C"	b 56	hl!	B	D	"B, D"	"A, C, E"		45	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"34, 21, 24, 26, 28, 54"	"34, 26, 54, 21, 28, 30"	"A, D"		"MAD
MID
MIDTERM
MIND
MINT"	B	4	4						
1	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q7),P2 (Q8),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q7),P3 (Q8),P4 (Q3),P4 (Q4)"	"5
3"	"D, E"	"A, B, C"	break myprogram:56	"h
l
o"	B	E	"B, C, D"	"A, B, D, F"		44	99	2	"A, C, D"	B	"E, C, G, B, F, L, A"	C	A	1	"B, C, D"	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	2	"A, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, E"	9	"MAD
MID
MIDTERM
MINT
MIND"	"B, D"	4	4	9	3	3	C	A	"B, C"
2	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"A, D, E"	"A, B, C"	break 56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 24, 34, 21, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"A, B, D"	4	4	9	4	6	B	C	"C, E"
3	"P1 (Q1),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9)"	"5
3"	D	"A, B, C"	break myprogram.cpp:56	"h
l
o"	B	E	"A, B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 24, 34, 21, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"mad
mid
midterm
mind
mint"	"B, D"	4	4	10	4	4	B	C	"A, B, C, E"
4	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q10),P3 (Q1),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp 56	"h
l
o"	E	E	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, C, D"	"E, C, L, B, F, A, G"	C	A	3	B	"A, C, D"	2	"13, 12, 15, 5, 18, 26"	2	1	"A, C"	"26, 24, 34, 21, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	4	B	C	"C, E"
5	"P1 (Q1),P1 (Q3),P2 (Q1),P2 (Q3),P2 (Q5),P2 (Q7),P2 (Q9),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q10),P4 (Q4)"	"5
3"		"A, B, C"			"B, C, D"	D	"B, D"	"B, D, E, F"		44	40	2	"A, B, C, D"	"B, D"	"E, C, F, B, G, L, A"	C	B	2	"A, B, C"	"A, D"	1	"13, 12, 18, 5, 15, 26"	2	1	"A, C"			"B, C, D, E"	7		"B, D"	5	4	24	24			B	"A, B, D"
6	"P1 (Q1),P1 (Q5),P2 (Q2),P2 (Q3),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P3 (Q1),P3 (Q3),P3 (Q4),P3 (Q5),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9)"	"5
3"	E	"A, C"	b 56	"h
l
o"	"B, D"	D	E	G			50	2	"A, B, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	D	"A, C, D"	4	"13, 12, 18, 5, 15, 26"	2	1						"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	4	B	C	
7	"P1 (Q1),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q7),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q7),P3 (Q8),P4 (Q3),P4 (Q4),P4 (Q8),P4 (Q9)"	"5
3"	D	"B, C"	b 56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, E, F"		54	50	2	"A, C, D"	D	"E, C, G, B, F, L, A"	C				"A, C, D"	3	"13, 12, 18, 5, 15, 26"	3	3	"A, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	A	4	"MAD
MID
MIDTERM
MINT
MIND"	"B, D"	4	4	9	3	3	B	C	"A, B, E"
8	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q10),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
3"	"D, E"	"A, B, C"	b myprogram.cpp:56	"h
l
o"	"A, B, D"	E	"A, B, C, D"	"B, C, D, F"		44	51	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, D"			F	7	"AD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	25	4	8	B	C	
9	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q3),P4 (Q4),P4 (Q7)"	"5
3"	C	"A, B, C"	break 56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, E, F"		44	51	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	0	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	1	0	"A, B"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	7	"MAD
MID
MIDTERM"	"A, B, C, D"	4	4	9	3	4	C	E	"A, B, C, D, E"
